Timestamp,Object,Confidence,Is Weapon,Location X,Location Y
05:30:00,Person,0.854,NO,1192.5,1014.0
05:30:00,Person,0.841,NO,705.38,750.0
05:30:00,Person,0.824,NO,1468.5,794.25
05:30:00,Person,0.82,NO,1481.25,399.75
05:30:00,Person,0.814,NO,1176.0,580.5
05:30:00,Person,0.795,NO,1501.5,556.5
05:30:00,Person,0.782,NO,786.0,537.0
05:30:00,Person,0.78,NO,295.88,524.25
05:30:00,Person,0.737,NO,954.0,239.25
05:30:00,Person,0.702,NO,233.81,101.25
05:30:00,Person,0.701,NO,1229.25,197.62
05:30:00,Person,0.693,NO,738.0,312.0
05:30:00,Person,0.668,NO,1822.5,208.5
05:30:00,Person,0.653,NO,120.09,191.25
05:30:00,Person,0.619,NO,598.12,334.88
05:30:00,Person,0.593,NO,1185.0,216.0
05:30:00,Person,0.582,NO,822.75,140.25
05:30:00,Person,0.552,NO,1722.0,217.12
05:30:00,Person,0.474,NO,369.56,567.0
05:30:01,Person,0.851,NO,1155.0,894.75
05:30:01,Person,0.835,NO,269.62,607.5
05:30:01,Person,0.826,NO,1364.25,792.75
05:30:01,Person,0.825,NO,132.84,913.5
05:30:01,Person,0.824,NO,709.88,623.25
05:30:01,Person,0.787,NO,1525.5,478.5
05:30:01,Person,0.784,NO,1837.5,678.0
05:30:01,Person,0.771,NO,955.5,276.38
05:30:01,Person,0.768,NO,1542.0,643.5
05:30:01,Person,0.698,NO,784.5,449.25
05:30:01,Person,0.69,NO,1836.0,245.62
05:30:01,Person,0.673,NO,1176.0,500.25
05:30:01,Person,0.655,NO,727.12,241.88
05:30:01,Person,0.655,NO,303.0,60.0
05:30:01,Person,0.63,NO,113.06,181.12
05:30:01,Person,0.584,NO,603.0,380.25
05:30:01,Person,0.554,NO,1707.0,96.0
05:30:01,Person,0.518,NO,1017.0,202.5
05:30:01,Person,0.509,NO,363.56,558.0
05:30:01,Person,0.507,NO,1749.0,258.38
05:30:01,Person,0.49,NO,816.0,120.38
05:30:01,Person,0.487,NO,1188.0,162.0
05:30:01,Person,0.456,NO,1113.0,127.5
05:30:02,Person,0.836,NO,248.25,712.5
05:30:02,Person,0.816,NO,1596.0,757.5
05:30:02,Person,0.806,NO,178.22,960.0
05:30:02,Person,0.805,NO,1115.25,769.5
05:30:02,Person,0.804,NO,1236.0,821.25
05:30:02,Person,0.766,NO,1575.0,578.25
05:30:02,Person,0.75,NO,1092.0,1018.5
05:30:02,Person,0.745,NO,954.0,331.12
05:30:02,Person,0.724,NO,111.09,181.12
05:30:02,Person,0.709,NO,713.62,520.5
05:30:02,Person,0.699,NO,1188.75,439.5
05:30:02,Person,0.694,NO,778.5,379.5
05:30:02,Person,0.69,NO,1780.5,590.25
05:30:02,Person,0.659,NO,45.35,124.5
05:30:02,Person,0.649,NO,1776.0,227.25
05:30:02,Person,0.609,NO,612.75,429.0
05:30:02,Person,0.604,NO,727.5,188.25
05:30:02,Person,0.583,NO,1023.0,252.75
05:30:02,Person,0.552,NO,367.12,558.0
05:30:02,Person,0.541,NO,1785.0,314.62
05:30:02,Person,0.539,NO,1717.5,126.38
05:30:02,Person,0.534,NO,1872.0,304.5
05:30:02,Person,0.483,NO,1401.0,106.5
05:30:02,Person,0.48,NO,1674.0,87.0
05:30:02,Person,0.452,NO,425.25,579.0
05:30:02,Person,0.451,NO,1635.0,92.25
05:30:03,Person,0.836,NO,201.38,825.0
05:30:03,Person,0.823,NO,1095.0,655.5
05:30:03,Person,0.799,NO,1725.0,498.0
05:30:03,Person,0.79,NO,1219.5,1025.25
05:30:03,Person,0.763,NO,951.0,381.75
05:30:03,Person,0.762,NO,1047.75,903.75
05:30:03,Person,0.75,NO,32.95,601.5
05:30:03,Person,0.734,NO,611.62,492.0
05:30:03,Person,0.731,NO,723.38,426.75
05:30:03,Person,0.723,NO,1157.25,873.0
05:30:03,Person,0.719,NO,1789.5,279.0
05:30:03,Person,0.718,NO,709.5,1050.94
05:30:03,Person,0.703,NO,1827.0,372.0
05:30:03,Person,0.7,NO,1641.0,699.0
05:30:03,Person,0.675,NO,1027.5,299.25
05:30:03,Person,0.661,NO,1662.0,880.5
05:30:03,Person,0.634,NO,1134.0,204.38
05:30:03,Person,0.622,NO,1740.0,156.75
05:30:03,Person,0.622,NO,768.0,311.25
05:30:03,Person,0.615,NO,1899.0,363.75
05:30:03,Person,0.598,NO,1200.0,371.25
05:30:03,Person,0.588,NO,1671.0,103.5
05:30:03,Person,0.577,NO,425.62,571.5
05:30:03,Person,0.572,NO,608.25,375.0
05:30:03,Person,0.56,NO,370.5,552.0
05:30:03,Person,0.551,NO,135.75,146.62
05:30:03,Person,0.551,NO,1402.5,99.75
05:30:03,Person,0.473,NO,1704.0,100.5
05:30:04,Person,0.857,NO,1233.0,903.0
05:30:04,Person,0.85,NO,719.25,972.75
05:30:04,Person,0.837,NO,78.61,662.25
05:30:04,Person,0.821,NO,1668.0,426.0
05:30:04,Person,0.821,NO,153.94,968.25
05:30:04,Person,0.787,NO,1071.0,983.25
